INCIDENT_YEAR,SHARK_COMMON_NAME,SHARK_SCIENTIFIC_NAME,INCIDENT_COUNT,,,,,,,,
1956,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1957,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1958,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1959,Great White Shark,Carcharodon carcharias ,3,,,,,,,,
1960,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1961,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1962,Great White Shark,Carcharodon carcharias ,3,,,,,,,,
1963,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1964,Great White Shark,Carcharodon carcharias ,2,,,,,,,,
1965,Great White Shark,Carcharodon carcharias ,0,,,,,,,,
1966,Great White Shark,Carcharodon carcharias ,3,,,,,,,,
1967,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
1968,Great White Shark,Carcharodon carcharias ,1,,,,,,,,
